under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
14408,4920,5836,32477,32440,6662,-9516,-6708,-9236,737,3707,5303
13244,4592,8552,-7022,-6040,1249,-5612,-5528,-7580,-2302,-560,5648
11344,-924,-4136,15631,8884,-2545,-14152,-4548,2416,-6241,-7983,-3773
29972,6680,32767,-6698,-6400,-74,-16336,-796,7596,2661,-2631,-2946
14500,5272,1388,0,0,0,-18584,-13344,-3840,15613,11684,4680
14444,6644,2556,4723,8678,3992,-7864,-9068,-8340,7405,-6037,5384
15008,1424,3084,-5460,-4225,1595,-3740,-3124,-8028,1334,5722,4005
23268,736,6924,-9209,-8269,-12253,-19348,-4436,-168,7179,20008,-4395
13524,-252,-4768,7975,7576,-8557,-13612,-3112,900,4066,-2897,-1956
5872,756,-6136,-3703,-7062,-3489,-12208,-7348,524,-12838,-7293,2591
21636,7468,12864,-13349,-15722,3271,-13628,-3396,6280,1511,7293,-2459
32767,5148,-9012,-10372,27561,5348,-16576,-19956,16000,-3293,-8538,-4999
25776,8028,-1396,4798,-5808,3153,-22308,-12432,-9496,10838,14305,9235
17044,7788,2120,16684,24327,7184,-7804,-7420,-8888,8658,-6363,6281
3152,7212,24712,0,0,0,-26340,-15480,-3748,-22614,-32768,-4989
14836,-1612,-3204,-58,10071,-6560,-14620,-4724,-1028,16121,-1980,-4636
5660,656,-7284,-795,-5177,-3521,-13740,-3272,-448,-20225,-13036,1818
20040,1500,10996,-17885,-14737,7621,-13720,-4704,3348,4457,11429,-3533
13340,-8712,-4232,-24644,3613,-1128,-1452,-7156,32767,13611,-9275,-4368
19344,9528,-1788,0,0,0,-21364,-10592,-5312,2785,7149,7936
13484,3736,6128,19833,29769,3575,-7524,-7752,-8284,7330,-4572,6421
1328,5328,29920,0,0,0,-3760,-17744,-29828,-32768,-15324,-6255
28440,-3144,11208,-16018,-1899,-18122,-24312,-7652,6144,9266,8427,-2544
14488,-2720,-6836,1046,14533,-3005,-17236,-3668,348,24688,3403,-6179
5368,1744,-7808,-1499,-6532,-1584,-12212,-5260,-2284,-32768,-15042,5967
28268,2500,28480,-27012,-12007,6385,-15264,-1928,5524,8313,13146,-8184
19644,9856,-2900,7525,-11630,-335,-16320,-13784,-7996,9028,13641,9145
15520,2496,2408,3383,-2025,3009,-6832,-10116,-6776,13941,-1836,8042
23960,-1872,204,0,0,0,-13292,-2012,-5864,7364,21494,-6967
14204,136,-4868,9988,11850,-4714,-11496,-5988,1652,7259,-1655,-5790
4116,1440,-2916,-6089,-3842,-3092,-12920,-7776,-1460,-13247,-7607,537
22500,6084,18480,-12386,-19198,1418,-14372,-2896,9852,7198,8769,-5613
15908,1016,2752,6331,43,5067,-8116,-9468,-8880,7622,-3410,3722
15052,4020,4972,-15889,651,891,-8568,-2544,-6620,5248,11268,5041
14352,-3508,-5340,0,0,0,-13212,-5364,-2068,6441,1134,-3679
6900,-556,-4172,133,-6444,318,-13364,-4696,-964,-19958,-10781,1223
17732,5148,9056,-5653,-11468,2525,-13980,-5188,-552,-1064,2847,-2410
18248,588,72,0,0,0,-19048,-8708,-4004,7976,13668,6384
16052,4748,2756,-2463,-1627,197,-7972,-7624,-8292,-4134,-3771,5157
15492,4544,2520,0,0,0,-8588,-6700,-5228,-7383,4034,2151
15145,-1,-1,-1,-1,-1,-11364,-1772,-2996,-17000,-15619,-1990
18392,-16876,21256,0,0,0,-7912,-10148,-9856,-7659,4352,-6304
11084,2428,-2876,13295,2295,-2753,-12932,-8004,-1052,-6690,-7289,-1618
7608,5484,-1444,4367,-6252,-3700,-12420,-7148,240,-688,1749,-3678
28156,10944,20932,-2378,-13118,-2725,-14584,-5308,5764,3060,454,-4699
16280,4988,1344,13282,17025,4790,-6732,-8472,-11400,3590,-14849,7720
14016,2940,3656,-653,1744,4194,-2096,-5632,-9584,-3054,12379,2723
25260,-5572,-6364,4509,5323,-10846,-15420,-1916,-7964,4055,21429,-4806
8212,104,-5300,5348,3987,-2783,-15600,-5436,3876,-2757,9467,-5763
8628,940,-2668,-5872,-10473,326,-14128,-5496,-4016,-16880,-5458,1396
17368,4580,472,31945,14591,1641,-9820,-8192,-9680,19862,1166,4171
13656,3716,8980,-8112,-1231,3288,-3652,-2228,-10356,4335,-784,5439
-6820,-3604,32767,-11586,-5288,-8129,-3620,-18500,-12692,-32768,-17325,-11869
32767,-1496,8744,-19950,-19172,-14414,-27848,-4392,-3996,8984,4961,906
3388,1356,-9640,-1088,-7448,-2554,-8244,-8828,-880,-22905,-14511,4867
23976,4996,32767,-32768,11595,13662,-13488,-764,10412,4384,11584,-3693
