under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
16320,-8304,-2464,7103,19349,-15552,-32160,12448,-8104,2177,28231,-12334
-3176,6636,3268,4049,-1247,-2090,-13020,6892,19948,-10005,18400,-5767
2204,-32768,-10748,-7452,-9958,-5242,-32768,7432,-1052,-19568,-26298,-3857
32528,6332,-6556,11360,-11482,25861,-31180,-1668,-30136,-6112,-31717,7688
14408,32767,11128,638,32767,27850,9388,5024,-8480,-7041,-7812,824
23820,6208,15624,13581,4401,-5341,-29124,-19508,-32768,-15028,32767,3968
32767,-2352,-5392,8101,23636,-31836,-32768,1204,-9840,5671,27068,-7866
-10672,3780,-31952,-12051,-627,-10257,-14536,17024,21884,-6255,14934,-3732
32767,-32768,-5552,-5260,-23573,5257,-32768,18604,-2640,-35,-20283,56
32767,-3160,-9516,6624,-10368,30787,-22216,-8636,-32768,-14925,-32768,10200
3716,32767,20700,2797,32767,28830,8228,1220,-10964,4601,-2954,-1861
16276,20356,7740,14123,656,-2850,-32768,5968,32767,-26207,-25713,4788
32767,-5104,-1272,-9891,18924,-31853,-32768,14256,-26012,22008,32767,-14514
-7308,-7512,-12456,-9819,7155,-1145,-22984,17396,13784,12452,18854,-6841
5652,17784,-6972,32767,-21364,17616,-23000,5012,16076,5562,-15098,-6019
32767,-1772,-13616,6232,-7466,32767,-29784,-4780,-32768,-6592,-32330,15506
-884,32767,12884,-4900,32767,32767,15656,5408,-17528,2917,-6527,-5493
8660,15476,16628,12016,-12803,-2474,1132,18404,-32768,269,32767,604
32767,-21176,-7684,-6235,18249,-32768,-32768,-14424,-32768,11426,32767,-13972
-8124,-10808,-15160,-7304,4132,6385,-16492,15360,16608,17984,14576,-9105
-3112,5816,7288,32767,5551,10815,-15820,5456,15268,6775,-14915,-6503
32767,-17664,-11880,22267,2751,32767,-32768,-6716,-32768,-19236,-29305,19119
16816,13560,11220,11881,32767,32767,16420,-5596,-17724,-3651,-12410,-9168
-2524,11276,18996,2344,-15518,-7432,14740,3964,-5808,14629,12418,608
32767,-9216,4336,63,9301,-32768,-32768,-14748,-32768,7727,32767,-14497
-13020,-17172,-15552,-7430,6579,-2712,-18644,16660,14680,21999,29721,-8562
-5276,2688,-7604,32767,-12775,15728,-17440,-1108,19628,8373,-12388,-7486
32767,-18100,-6832,5074,7338,32767,-32768,-7872,-32768,3996,-24455,26551
-3044,32767,-8112,-3040,32767,32767,19312,1876,-20280,-7792,-16009,-9045
9448,13308,19104,10079,-15752,-2496,2988,10308,-32168,-735,32767,7549
32767,-21904,-5652,1663,13074,-32768,-32768,-1360,-31008,11524,32767,-14476
-5564,-2532,-20052,-10667,943,-4368,-6996,23440,32767,-8291,10966,-2905
14164,32767,32767,32767,-32768,-5973,-32768,30784,-1804,13401,-15430,-965
32767,6816,26548,-7233,-15756,32767,-2476,-560,-32768,176,-24219,15044
-18428,32767,32767,-32768,5634,-29216,-2044,1992,-868,-3835,-12805,2582
32767,8952,10112,10723,-32768,-23461,-23416,-15608,-32768,11834,-3250,28215
13192,-22404,-19720,-16617,23854,-23497,-32768,3228,13632,7905,32767,-9271
1624,11948,14104,-4688,7713,-19701,-3788,-8872,32767,-17689,14393,-1126
4100,-32768,-32768,-20189,-18456,-15854,-32768,680,-28592,-19313,-29689,9834
32767,21916,24468,-7377,-25924,32767,11548,-14796,-25228,-14727,-32768,-7343
-12044,-9056,20116,19120,16729,13615,-20764,3284,28912,15397,-32768,10937
32767,-13640,10984,-11929,-6591,-32768,32767,-8464,-32768,19893,15174,1988
3728,-20248,-15792,-8328,17641,-11920,-32768,-8328,15868,3965,32767,-7786
2964,10416,12076,10797,3149,-12803,-6040,-18460,24476,-7093,7389,-3522
