under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-5660,24920,9880,22817,22292,19224,-13380,6152,13736,-28343,-32768,7769
32767,10336,11440,-6745,-32768,-15236,-9348,-26304,-32768,-32768,12474,-9271
26224,-2764,-18656,10275,21964,-11355,-32768,-6832,10568,26706,-7614,-11481
-15080,4460,-11876,7854,-15226,-10031,-7400,-3636,5200,-32768,-32768,19994
32767,16684,32767,32767,32767,-11540,-29452,11296,11884,-10472,-1845,3387
32767,15164,-10520,12647,-19858,6032,-22820,-24492,-32768,-15985,23985,13215
12380,11144,24144,18608,17548,11752,1532,-5668,-1668,-29994,-32768,-7386
-4000,3800,16264,-6566,-11774,-5164,13260,-9044,-17636,-10403,9604,-1724
32767,-4896,-13924,14051,18776,-16031,-32768,-14724,-16636,-24493,-30270,1168
-828,-2104,-10272,8970,10535,-6097,-6604,-5444,32767,-20788,-4528,3379
9376,4196,15820,-21107,-9060,-810,5364,25524,32767,13379,15892,2841
8020,7484,-32768,4698,-1705,12259,-32768,-20268,-27584,7739,31620,22917
32767,27588,-232,32767,32767,10329,13168,-10224,-9748,-6534,-32768,-5110
-15916,19216,23220,-11980,-1518,-18241,-7188,6888,12524,-7526,-14640,16052
32767,-344,1436,-9146,-3421,-7183,27480,-17896,-25700,-14345,-10577,-3090
9944,-5956,-15296,-7568,20719,271,-32768,-604,14000,32767,32767,-32768
1300,3860,6740,-25674,-22073,5258,-8764,23680,15188,-32768,-9970,18977
-12024,-8736,-22612,7358,-9069,-149,-32768,-18840,-15408,10559,32767,6338
32767,17704,15740,32767,17815,18415,13844,-12692,-11068,-9937,-32768,-3417
-15984,24488,15244,-16788,18006,-14177,-11376,4916,13548,18210,-10733,19592
32767,-3780,-2656,-26287,-32768,-16459,32767,-15332,-2104,433,19640,-10367
10152,-3160,-14812,-10542,18801,692,-32768,692,12940,32767,26025,-27216
2568,3164,9320,-31506,-23488,3953,-3056,14536,12084,-32768,-32768,24812
-104,8324,-32768,-32768,-17987,2272,-32768,-8356,-4364,1112,20517,8554
32767,4976,2104,32767,24643,21019,2308,-19120,-21200,-12609,-1458,2029
-4180,20164,13480,-14461,24169,7972,-10072,11456,1684,-15938,-17074,8663
32767,29480,-1492,-14168,-32768,-19179,17912,-20032,-32768,-23045,32767,-25658
25360,140,-19464,-10282,20543,-12521,-32488,6044,-29424,7585,5068,-14508
-4884,-4452,-4748,-19221,-9562,5680,-7368,16548,11232,-17107,-32768,-3205
32767,-32704,-32768,-15407,25531,2553,-32768,-536,6428,-21334,-5038,6008
32767,21504,244,752,7392,11633,-8208,-21348,-32768,-2361,27225,10338
-21484,26360,3620,10937,32767,32767,13120,3416,-10044,-16947,-32768,-637
14904,15944,12440,-14000,-32768,-15876,-32768,10516,-32768,32767,23192,338
30068,2296,-24960,-548,16271,-20154,-32768,-5960,-32768,-7272,-23961,-17606
-9888,-3028,-5988,-19495,-8140,4299,-3836,12076,9224,-8258,-32768,699
32767,-32768,-32768,-10674,14898,19150,-32768,-368,5496,8461,-891,954
32767,7524,15892,32767,-1915,18513,-1108,-12856,-32724,-5,25767,1696
-19432,26380,10644,-2759,8545,9423,-2044,-4036,-5388,-26763,-32768,12046
32767,27256,4388,-6122,-32768,-16626,20864,-32768,27852,23653,32767,-11949
23756,-6080,-22728,-13015,16853,-9872,-32768,-1704,-7844,16818,2332,-13454
4164,6952,11676,-32768,-23988,10801,3444,22548,32767,-32768,-31221,7401
32767,-32768,-32768,-31985,2869,14002,-32768,-3024,3840,-1084,-175,5976
32767,12956,8396,32767,11667,15916,4088,-14760,-24496,-224,17535,8854
-14856,31832,-3360,-12644,15584,23188,648,1440,-2476,-28148,-32768,507
32767,29024,14300,-11429,-32768,-15863,-18272,-32768,-32768,-25433,32767,-12782
24808,1592,-23200,-4408,18818,-12443,-32768,-2868,-17924,16775,3381,-11478
