under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-15800,-1452,1176,-3547,14873,4788,-2348,-432,-11720,3900,-2615,6325
-2608,2184,-12108,10021,-6372,-4898,9980,-8376,17508,0,0,0
-8096,-2196,5552,9394,-12428,-3598,-12724,2272,-4144,406,14401,-855
-13644,-8436,5144,-2915,-1970,-10278,-20076,-1128,-2260,9893,18409,109
-17220,26232,-11680,18612,14895,4466,-24676,-6096,6696,14590,-5175,-898
-17572,-536,-4480,7088,13058,4451,-22656,-14844,-14508,7708,-19392,10649
-15564,388,-420,-4168,15074,7715,-3032,772,-14608,9995,-13021,2983
-15220,940,-1480,1887,10421,7240,-3512,804,-11984,-20883,-13715,3397
-21532,-4168,2644,-2019,16001,7788,-13080,3092,-572,10993,-1694,-1004
-25308,-4992,6980,4766,-4267,3,5300,-7664,-25480,32767,3398,12632
-29488,13336,-15196,14328,-14437,-14163,-13820,-5732,-6816,-3531,11716,769
-5028,6540,-8300,-2939,-14743,-9970,-13812,3492,52,13528,17099,-5925
-5580,712,-6768,15943,-13971,-1287,-14208,-1424,848,-1887,10779,-3781
-16588,1888,15488,-17554,-11400,-3982,-21940,180,2600,-966,22751,-2368
-6628,9504,-17048,-11373,252,-2260,-23264,8504,-3404,2989,-327,1093
-19900,3656,-5228,-2586,13654,5011,-22972,-14576,-14492,-5335,-17991,15159
-15452,-2072,1296,-6899,15334,5870,-2812,-1556,-12432,157,-12206,7569
-14612,-2940,-2288,-7303,11220,4050,-8836,-8216,-1492,-24596,-14786,3757
-21132,-1956,-996,-8320,13845,7095,-10348,472,5856,-3940,-13688,348
-30020,-1620,9168,-4046,-7265,2522,-6996,-7264,-32768,27148,6244,8621
-25252,9440,-13072,6170,-14502,-14702,-12976,-7200,-6776,-6330,12159,414
-6780,8172,-7068,-159,-13727,-11576,-13832,1128,-1360,7807,17757,-4703
-6028,-4152,-6684,12396,-12471,-6419,-13224,-2624,-684,-246,12566,-1658
-24508,-304,32767,8291,-11906,1092,-17360,1396,-1072,2404,16311,-2379
-15128,10972,-16336,-1423,19881,7360,-25480,-1384,12164,14337,-8627,-2897
-17636,688,-5220,-3267,12371,3237,-25988,-10256,-16760,884,-18621,11793
-15464,-4364,-912,-6380,14294,6489,-3232,528,-14616,-412,-9375,8796
-15020,-1192,-8,-6061,13325,5524,-8624,-12000,2000,-31732,-16057,-4710
-18844,-3572,-3516,-7866,17340,6937,-11044,1468,10680,6160,-12508,2739
-25296,-11900,8272,-7838,-1798,3420,-32208,-9256,32767,-31529,-4888,6508
-32768,8292,-21768,-1342,-16106,-15562,-23404,-960,-10004,-5270,15426,7670
-11184,13128,-9208,-348,-15490,-16644,-12424,4468,-144,-613,20225,-3729
-1652,-3624,-10208,6406,-10138,-5767,-11836,-476,1248,1168,11000,-2703
-24840,-9288,32767,24332,-14610,4574,-17564,2944,868,-4026,13762,-1363
-32768,8640,25716,21413,-29393,2968,-18760,4496,15844,21133,-10219,-4648
-20324,-7552,-8356,2947,11644,1042,-22884,-6044,-14952,104,-13727,9825
-15672,-3804,-2736,-4907,16126,5660,-7592,-4604,-12480,9324,-16014,11767
-14940,-3548,600,-8681,13463,4908,-3800,940,-10096,-23040,-6378,5873
-16352,-8768,-3924,-7632,18996,7243,-13444,-4116,10232,7731,-15552,2
-23472,-8652,9572,-12467,-3196,2095,-25796,-11232,21056,-25110,-7014,413
-32768,6292,-20724,-4239,-15682,-15084,-32768,14556,-12324,-8810,11688,4522
-12820,14504,-7424,-2269,-16580,-16068,-15040,-6664,-2448,933,16026,-3838
-2180,-6132,-11292,11885,-12389,-2647,-12164,-1476,2052,-850,12631,-2871
-19836,2620,32767,32767,-8716,14586,-16868,2452,-2912,737,15741,-2963
-23792,4244,26660,16305,-14098,-3800,-22680,9572,16824,15959,-14357,-2975
-19720,1076,-7164,-2625,14462,-1134,-19936,-3932,-12808,-7026,-15443,11255
