under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
12712,-2664,16728,-32768,-20835,-32768,-5604,-13860,14628,-17741,-18464,-5647
7104,-868,3080,-7613,15666,22858,-28952,-17224,3876,10976,1198,7266
12352,1796,12176,-32768,-32768,-32768,-22856,-4892,-11084,2549,10089,-664
5708,32767,32767,-32768,-32768,-32768,-13712,-2152,756,8188,15592,-6508
-6176,4396,-1236,-5869,-1897,32767,-12648,-316,-2784,2989,11794,-5664
12208,15064,16548,32767,32767,32767,-20680,664,6616,4697,12097,-5216
24180,7736,32767,32767,747,32767,-29552,8072,-4308,397,-914,2121
6364,4020,14876,22952,-28208,32134,-27608,-11752,-20160,-20327,-13858,15804
16528,-3372,32767,32767,19508,32767,-1648,-2600,-15192,972,-9150,13630
1528,-4276,10852,-32768,7153,-32768,-9524,-2804,-3812,-23167,-9907,6492
13172,3840,14576,-32768,26242,-32768,-32768,-14264,-12488,-32768,-14117,1787
9456,5312,4112,-10562,-31327,7181,-24324,3004,-10736,-2654,14670,-553
-32768,-13720,32767,-18256,-32768,-32768,-13868,5172,-2844,7824,14533,-6896
11436,7128,540,-15644,-27729,-10037,-14276,-1240,-784,2829,11082,-6591
7692,3480,7200,32081,-5181,21926,-20504,-1156,4036,7511,16163,-6325
23868,19572,32767,26660,32767,-29077,-21532,4936,-6100,6053,1951,4634
7460,3392,19416,32767,-20138,32767,-21428,-30804,-9940,-6649,-14923,17832
12668,880,12940,-18085,32767,-4869,-3276,-4760,1984,-14272,-21093,-3173
15196,13380,24500,-11903,-32768,-15030,-560,3436,2576,-3902,6754,3627
648,11244,7452,32767,32767,32767,-28464,8716,-18352,5122,9288,-12
21100,-2648,31504,16537,-17127,-32768,-18200,3648,-4824,7993,16673,-3446
13528,2660,16840,-26478,-32768,-32768,-12056,1724,892,11170,12531,-2582
1168,-1928,-2044,15796,3196,-17530,-13972,396,88,4393,17322,-929
19836,992,26540,32767,11918,32767,-19440,-10764,21032,23212,-5983,-7893
21980,5524,32767,-32768,-22485,-32768,-19312,-10088,-13424,11787,-16168,9054
6604,4340,3576,-1031,24608,32767,-4588,-1504,-12228,8621,-17140,2918
17572,-1872,18796,-18555,-14650,31550,-3188,-1812,-8644,-24700,-7310,-1620
12512,13080,14960,-27227,2286,-13756,-14124,-5256,15308,12191,-660,-2162
2760,2036,3352,22647,9376,-18865,-27288,7120,-17392,-6692,13132,4257
31232,17380,32767,1414,32767,-32768,-14304,-5428,-2164,1807,16366,-1507
11068,5332,6872,23240,-13672,-3356,-13660,4256,2872,0,0,0
4600,876,3832,32767,8961,3826,-20172,148,-456,4314,12475,-1117
8864,-5112,19160,32767,-12286,32767,-28348,-4996,13140,20399,-7524,-6460
19572,2288,32767,-32768,19096,-32768,-21036,-3332,-16112,-4477,-14452,9014
11096,10124,10448,-27337,-26054,227,-3856,-3624,-13928,-1784,-13823,8257
10984,-512,16476,32767,-16991,32767,-9164,-1068,-284,-19046,-16635,4603
10756,1348,12604,-29956,27387,-32768,-7516,-6644,5464,1249,14092,-1986
20252,6316,19740,32767,11974,32767,-15308,-228,-2340,3,13912,-5774
13960,3920,15892,23321,-18048,-27403,-12924,-2540,-1620,1668,11030,-6582
8812,-64,13896,32767,-6961,32767,-20116,552,10128,1392,9401,-6817
13228,-3544,28224,1435,32767,24432,-17560,380,-10148,-9638,-692,5499
8580,9168,15052,-32768,-17232,-927,-17560,-16244,-10820,-11197,-12426,16850
15652,2456,14672,-18084,32767,1868,-5020,-300,-9940,3657,-7686,13666
-12396,-13892,-5880,-20068,-32768,-20189,-7868,4436,-3544,-18297,-9022,14753
18932,13676,30804,-32768,14597,-32768,-18288,28,-32768,-23652,18074,-296
-24320,22040,-3760,-32768,-10303,-32768,-27836,10848,-12048,1482,15633,-87
20388,2984,25224,32767,29230,32767,-14360,4080,-2604,10227,15141,-5414
8652,-3644,5340,15936,-16954,11005,-14108,528,1948,678,12793,-5163
13552,4872,11324,-13060,-7934,-32768,-21356,-1764,12552,6088,11374,-6556
22580,2952,32767,6164,-3442,32767,-29780,-13148,-16808,-10791,-17200,10169
8468,6412,9424,-23876,-14653,-3605,-10332,-13636,-12320,17521,-15977,10558
12196,-1228,10376,-11419,29441,15566,32,4968,-13248,-8898,-3740,1859
19672,13604,25716,-24582,23165,-9525,-2280,-13364,32767,704,-4640,-6210
7952,8620,4196,32767,32767,32767,-29352,-656,-25912,12433,15289,6310
14824,5416,25372,26057,32767,-32768,-15028,-1540,-7800,-1294,16536,669
14236,-164,3068,-6838,-32768,-32768,-13784,3276,-1204,4002,16819,-2673
10252,852,9348,32767,-7149,32767,-14468,-2552,-716,4953,13769,-2741
16536,1544,25348,32767,7071,32767,-16728,-11100,23120,17150,-2175,-7004
18492,-2668,30408,-32768,31839,-32768,-27216,-4252,-16780,1551,-13539,8722
