under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-10136,10964,-7152,-6896,-16114,-10499,-14692,2416,-2764,11338,11814,-4283
-7408,-88,-9644,-9615,-11071,-6381,-13820,952,1880,-9128,8411,-3544
-11628,-14096,6356,-10441,-3793,-5756,-15268,-3028,-2988,-5185,10735,-1772
-23176,4572,1812,4680,-7524,10016,-17708,1008,15732,-7414,-1097,-3995
-20616,-10176,-5796,-1840,7610,3588,-26236,3896,-17184,-17230,-13876,8406
-15640,-4596,-3568,-11344,8685,3676,-10436,-400,-15400,-12222,-15780,4890
-14672,-4588,-1500,-9084,8614,4694,-6840,-4856,-9832,-14289,-14500,-463
-8012,-3396,-5904,-760,-11717,-5966,-13032,-2980,-5476,-2343,9711,-1513
-16396,-2436,14196,-16573,-5135,828,-16900,728,1444,-5607,9919,-3655
-14000,8652,-19116,-3664,11618,1037,-26492,9160,-276,10905,370,-1119
-16612,764,-2788,-4167,9662,4871,-22244,-4036,-18536,-19491,-14031,7903
-15248,-5920,-1184,-7198,8850,3310,-7632,60,-15464,-20119,-12154,3616
-14992,-1516,-3080,-2343,9916,3918,-6500,-12104,-3748,-22062,-15958,-4382
-7280,-2456,-8576,-514,-11177,-4364,-13712,676,436,-2663,10644,-1953
-12516,-2612,11108,13566,-6086,2217,-14544,-1204,-7912,-77,10901,-2467
-11888,-4948,2124,-10367,-954,-5311,-19920,-280,4632,1865,9313,-4015
-14820,-5400,-11472,-10606,5552,-3851,-23504,7808,-13196,-5549,-10427,5207
-17132,664,-2136,-3700,11578,2770,-13832,-8704,-16368,-6312,-19333,8238
-14816,-2996,1600,-6638,10278,4456,-3828,-5104,-9044,2076,-15158,694
-14856,-648,-5028,-689,10543,4199,-9836,-4516,2452,-14908,-9319,195
-24848,-3968,32284,5255,-9615,9,-18648,996,2376,4059,12586,-1567
-11744,2384,-13228,-466,10771,3563,-27604,4136,6036,10170,944,-189
-16052,700,-1856,-1177,12268,3549,-24740,-8228,-16124,-7590,-15537,10743
-14576,-3192,-1540,-10807,13513,4797,-8096,-4208,-11656,-1938,-17399,4944
-14772,-2224,-4276,27,11521,5680,-5028,1572,-8980,-15354,-8674,2148
-7528,-1240,-2756,11433,-12460,-3797,-12444,-804,-3436,0,0,0
-13920,-5616,12560,-19535,-7062,-708,-20376,-144,4736,4332,14303,-3083
-12792,-5648,-9180,-10474,7732,-2408,-22664,8200,-19364,1126,-3876,5255
-17172,4584,-3412,-4483,12449,5182,-13468,-11456,-13528,-1676,-17552,9174
-15028,-2928,-728,-7871,12266,5306,-2916,-932,-10428,4361,-11941,4011
-15856,-1240,-5840,-3529,14903,6567,-10460,-5204,4404,-20884,-13718,-370
-4140,3016,-11996,10018,-12074,-4513,-14676,20,948,0,0,0
-14964,4196,5052,10932,-6765,1312,-13904,24,-5368,-276,13613,-3314
-8800,-7664,-3812,988,2040,-4464,-21876,-2400,1932,6134,10420,-1972
-18704,1600,756,-13812,7494,-2967,-21508,-148,-17464,0,0,0
